time,base_pos,heading
13.989999999997686,[-0.0234399  -0.1719069   0.05541616],[-0.87508631 -3.14159265  3.14159265 -3.14159265]
13.990999999997685,[-0.0234805  -0.17184978  0.05542306],[-0.87541361 -3.14159265  3.14159265 -3.14159265]
13.991999999997685,[-0.02352063 -0.17179429  0.05543022],[-0.87572234 -3.14159265  3.14159265 -3.14159265]
13.992999999997684,[-0.02355999 -0.17174065  0.05543758],[-0.87601244 -3.14159265  3.14159265 -3.14159265]
13.993999999997683,[-0.02359833 -0.17168904  0.05544508],[-0.87628386 -3.14159265  3.14159265 -3.14159265]
13.994999999997683,[-0.02363735 -0.17163846  0.05545282],[-0.87653612 -3.14159265  3.14159265 -3.14159265]
13.995999999997682,[-0.02367667 -0.17158922  0.05546064],[-0.87676847 -3.14159265  3.14159265 -3.14159265]
13.996999999997682,[-0.02371602 -0.17154157  0.0554684 ],[-0.87698102 -3.14159265  3.14159265 -3.14159265]
13.997999999997681,[-0.02375508 -0.1714957   0.05547604],[-0.87717441 -3.14159265  3.14159265 -3.14159265]
13.99899999999768,[-0.02379357 -0.17145179  0.05548351],[-0.87734927 -3.14159265  3.14159265 -3.14159265]
13.99999999999768,[-0.02383125 -0.17140999  0.05549079],[-0.87750612 -3.14159265  3.14159265 -3.14159265]
14.00099999999768,[-0.02386955 -0.17136932  0.05549806],[-0.87764513 -3.14159265  3.14159265 -3.14159265]
14.001999999997679,[-0.02390816 -0.17133002  0.05550519],[-0.87776614 -3.14159265  3.14159265 -3.14159265]
14.002999999997678,[-0.02394681 -0.1712923   0.05551207],[-0.87786965 -3.14159265  3.14159265 -3.14159265]
14.003999999997678,[-0.02398528 -0.1712563   0.05551861],[-0.87795609 -3.14159265  3.14159265 -3.14159265]
14.004999999997677,[-0.02402337 -0.17122217  0.05552473],[-0.87802572 -3.14159265  3.14159265 -3.14159265]
14.005999999997677,[-0.02406088 -0.17119002  0.05553037],[-0.87807898 -3.14159265  3.14159265 -3.14159265]
14.006999999997676,[-0.02409863 -0.17115967  0.05553479],[-0.87810672 -3.14159265  3.14159265 -3.14159265]
14.007999999997676,[-0.02413635 -0.1711312   0.05553806],[-0.87811029 -3.14159265  3.14159265 -3.14159265]
14.008999999997675,[-0.02417383 -0.17110464  0.0555402 ],[-0.87809157 -3.14159265  3.14159265 -3.14159265]
14.009999999997675,[-0.02421089 -0.17108004  0.05554126],[-0.87805226 -3.14159265  3.14159265 -3.14159265]
14.010999999997674,[-0.02424737 -0.17105743  0.05554125],[-0.87799389 -3.14159265  3.14159265 -3.14159265]
14.011999999997673,[-0.02428313 -0.17103712  0.05553997],[-0.87792069 -3.14159265  3.14159265 -3.14159265]
14.012999999997673,[-0.02431895 -0.17101887  0.05553666],[-0.87782389 -3.14159265  3.14159265 -3.14159265]
14.013999999997672,[-0.0243547  -0.17100264  0.0555316 ],[-0.8777076  -3.14159265  3.14159265 -3.14159265]
14.014999999997672,[-0.02439025 -0.17098837  0.05552493],[-0.87757543 -3.14159265  3.14159265 -3.14159265]
14.015999999997671,[-0.02442551 -0.17097605  0.05551682],[-0.87742999 -3.14159265  3.14159265 -3.14159265]
14.01699999999767,[-0.02446038 -0.17096563  0.05550738],[-0.87727305 -3.14159265  3.14159265 -3.14159265]
14.01799999999767,[-0.0244948  -0.17095712  0.0554967 ],[-0.87710569 -3.14159265  3.14159265 -3.14159265]
